run_id,iteration,scenario,scenario_desc,api,latency_ms,size_bytes
1,1,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.5414,554
2,1,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.767,574
3,1,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.5864,554
4,1,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.7638,87
5,1,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.6715,18380
6,1,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,4.1946,13238
7,1,C4_collection,Colecao (50 usuarios completos),REST,2.8193,29943
8,1,C4_collection,Colecao (50 usuarios completos),GraphQL,4.089,30062
9,2,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.8643,554
10,2,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.0158,574
11,2,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8432,554
12,2,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.6853,87
13,2,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.5352,18380
14,2,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.8394,13238
15,2,C4_collection,Colecao (50 usuarios completos),REST,1.8838,29943
16,2,C4_collection,Colecao (50 usuarios completos),GraphQL,4.2735,30062
17,3,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.6379,554
18,3,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9819,574
19,3,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.6642,554
20,3,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.4441,87
21,3,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.3611,18380
22,3,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.7233,13238
23,3,C4_collection,Colecao (50 usuarios completos),REST,1.773,29943
24,3,C4_collection,Colecao (50 usuarios completos),GraphQL,4.8634,30062
25,4,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.6409,554
26,4,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.2598,574
27,4,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.7086,554
28,4,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.7184,87
29,4,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.2226,18380
30,4,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.7435,13238
31,4,C4_collection,Colecao (50 usuarios completos),REST,1.9206,29943
32,4,C4_collection,Colecao (50 usuarios completos),GraphQL,3.9158,30062
33,5,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.7564,554
34,5,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.955,574
35,5,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,2.47,554
36,5,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.8147,87
37,5,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.117,18380
38,5,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.279,13238
39,5,C4_collection,Colecao (50 usuarios completos),REST,1.7805,29943
40,5,C4_collection,Colecao (50 usuarios completos),GraphQL,3.763,30062
41,6,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.5663,554
42,6,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.0396,574
43,6,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.6447,554
44,6,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.6265,87
45,6,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.9193,18380
46,6,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,4.2794,13238
47,6,C4_collection,Colecao (50 usuarios completos),REST,1.8236,29943
48,6,C4_collection,Colecao (50 usuarios completos),GraphQL,4.5887,30062
49,7,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,2.5456,554
50,7,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.9643,574
51,7,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.8991,554
52,7,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.5591,87
53,7,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,14.9099,18380
54,7,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.3223,13238
55,7,C4_collection,Colecao (50 usuarios completos),REST,1.7167,29943
56,7,C4_collection,Colecao (50 usuarios completos),GraphQL,3.7905,30062
57,8,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.5484,554
58,8,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,3.1731,574
59,8,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.5603,554
60,8,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.8066,87
61,8,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,12.974,18380
62,8,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.2211,13238
63,8,C4_collection,Colecao (50 usuarios completos),REST,1.7112,29943
64,8,C4_collection,Colecao (50 usuarios completos),GraphQL,3.8259,30062
65,9,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.6378,554
66,9,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.7593,574
67,9,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.5022,554
68,9,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.6648,87
69,9,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,11.3792,18380
70,9,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.3983,13238
71,9,C4_collection,Colecao (50 usuarios completos),REST,2.5953,29943
72,9,C4_collection,Colecao (50 usuarios completos),GraphQL,4.5677,30062
73,10,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.7037,554
74,10,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.6672,574
75,10,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,3.1988,554
76,10,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.5432,87
77,10,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,15.2557,18380
78,10,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,4.7205,13238
79,10,C4_collection,Colecao (50 usuarios completos),REST,1.9497,29943
80,10,C4_collection,Colecao (50 usuarios completos),GraphQL,3.763,30062
81,11,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.4437,554
82,11,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.5955,574
83,11,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.3121,554
84,11,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.6142,87
85,11,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,9.9102,18380
86,11,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.2767,13238
87,11,C4_collection,Colecao (50 usuarios completos),REST,1.5978,29943
88,11,C4_collection,Colecao (50 usuarios completos),GraphQL,3.7465,30062
89,12,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.4374,554
90,12,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.6779,574
91,12,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.4657,554
92,12,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.801,87
93,12,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,10.6566,18380
94,12,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.0731,13238
95,12,C4_collection,Colecao (50 usuarios completos),REST,1.7106,29943
96,12,C4_collection,Colecao (50 usuarios completos),GraphQL,4.4057,30062
97,13,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.5425,554
98,13,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,4.2193,574
99,13,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.4462,554
100,13,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,2.2449,87
101,13,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,9.3195,18380
102,13,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.032,13238
103,13,C4_collection,Colecao (50 usuarios completos),REST,1.4885,29943
104,13,C4_collection,Colecao (50 usuarios completos),GraphQL,3.9362,30062
105,14,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",REST,1.3935,554
106,14,C1_single_full,"Recurso unico completo (1 usuario, todos os campos)",GraphQL,2.5252,574
107,14,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",REST,1.3252,554
108,14,C2_single_partial,"Recurso unico parcial (1 usuario, 3 campos)",GraphQL,3.1301,87
109,14,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),REST,9.3985,18380
110,14,C3_nested_n1,Consulta aninhada (usuario + posts + comentarios),GraphQL,3.0926,13238
